课程名称,单元名称,题目,答案,提示,题目类别,序列
6B语文解析,8 古代诗歌三首,“千磨万击还坚劲，任尔东西南北风”体现了诗人怎样的精神风貌？,表现出诗人无惧无畏、慷慨潇酒、积极乐观的精神风貌。,体会作者的写作意图,理解,11
6B语文解析,8 古代诗歌三首,李贺在唐代是非常著名的诗人，年少时便极负才名，他为何会发出“何当金络脑，快走踏清秋”的感叹呢？,"（1）诗人在“大漠沙如雪，燕山月似钩”这样的情境中，想到自己的才华不得施展，心中焦急，因此他感叹“何当金络脑，快走踏清秋”。
（2）诗人想到昏庸腐败的朝廷，心中忧虑，因此他感叹“何当金络脑，快走踏清秋”。
（3）诗人想到自己英雄无用武之地，心中愤慨，因此他感叹“何当金络脑，快走踏清秋”。",,理解,12
6B语文解析,8 古代诗歌三首,读完《石灰吟》，你觉得于谦是一个怎样的人呢？,"（1）于谦是一个虽然遭遇挫折和打击，却依然勇往直前的人。正如《石灰吟》中所说的那样，他面对艰难险阻“若等闲”粉骨碎身浑不怕”，是一个不惧艰难险阻、勇往直前的人。
（2）于谦是一个为人正派、刚正不阿的人。于谦在《石灰吟》中说“粉骨碎身浑不怕，要留清白在人间”，“浑不怕”三字使我们联想到其不怕牺牲的精神；“要留清白在人间”更是直抒情怀，表达了诗人立志要做纯洁清白之人的人生追求。",,理解,13
6B语文解析,8 古代诗歌三首,《竹石》一诗中，诗人画竹写诗仅仅是为了赞美竹子吗？,诗人不仅仅是为了赞美竹子，更重要的是借竹写人，借竹子扎根于岩缝中顽强生长的特点来表现诗人自己要像竹子一样做一个顶天立地、高尚正直的人的志向。“千磨万击”“东西南北风”等写出了竹子生长环境之恶劣，“坚劲”“任”则准确地写出了竹子迎风而立、百折不挠、顶天立地的英雄气概。,,理解,14
6B语文解析,8 古代诗歌三首,"主题归纳
《马诗》这首托物言志的咏物诗，通过描写清冷大气的场面，发出了“何当金络脑，快走踏清秋”的慨叹，流露出了诗人渴望报效朝廷、施展才华，但又不遇于时的感概、愤懑、矛盾的复杂情感。",,,阅读,15
6B语文解析,8 古代诗歌三首,"主题归纳
《石灰吟》托物言志，借石灰自吟来表现诗人不畏艰险、不怕磨炼、敢于粉身碎骨的献身精神和清白高洁的优秀品格。",,,阅读,16
6B语文解析,8 古代诗歌三首,《竹石》表面写竹，实则写人，通过刻画劲竹的形象，表现诗人面对种种艰难困苦，宁折不弯，决不向任何恶势力屈服的品格和不肯与黑暗社会同流合污的锋铮傲骨。,,,阅读,17
6B语文解析,8 古代诗歌三首,"写作特色
《马诗》
________。
诗的一、二句中，“沙如雪”“月似钩”，是比；从一个富有特征性的景色写起以引出抒情，是兴。短短二十字中，比中见兴，兴中有比，大大丰富了诗的表现力。从句法上看，后两句一气呵成，强烈地传达出无限企盼之意，而且富有唱叹的意味。",比兴手法,,理解,18
6B语文解析,8 古代诗歌三首,"写作特色
《石灰吟》
________。
诗中千锤万凿、烈火焚烧、粉骨碎身的是石灰石；将人生中千万次考验视若等闲，决意把清白留在人间的，却是诗人于谦。虽然诗人没有直接写出自己的志向，但透过那被赋予了生命、赋予了情感、赋予了高尚品格的石灰石，我们分明看到了在诗句的背后，站着立志清白做人的于谦。诗人借歌咏石灰石，自托其志，表现了其高洁的情怀。",托物言志,,理解,19
6B语文解析,8 古代诗歌三首,"写作特色
《竹石》
________。
这首诗具体生动地描述了竹子生在恶劣环境下，长在危难中，而又自由自在、坚定乐观的性格。这首诗表面上是写竹，实际上是写人，写诗人刚正不阿、坚强不屈的性格，以及其决不向任何邪恶势力低头的高傲风骨。同时，这首诗也能给我们以生命的感动，在恶劣的环境中，我们也要像在石缝中的竹子一样刚强勇敢，战胜困难，面对现实，彰显坚忍无畏的情怀。",借物喻人,,理解,20
6B语文解析,8 古代诗歌三首,"课文拓展：古诗词积累

在狱咏蝉
［唐］骆宾王
西陆蝉声唱，南冠客思侵。
那堪玄鬓影，来对白头吟。
露重飞难进，风多响易沉。
无人信高洁，谁为表予心。

【译文】深秋季节寒蝉不停地鸣唱，囚禁于狱中的我，思乡的心绪逐渐加深。真的不能忍受，秋蝉扇动乌黑双翅，对着我一头斑斑白发，不尽不止地长吟。蝉啊，清晨露水太重，你虽双翼轻盈，却难振翅向高处飞进，到黄昏，冷风肆虐，你高亢的吟唱，容易被风声掩盖。你枉居高树啜饮清露，可浊世昏昏，无人相信你的高洁，唉，又能向谁表白我的皎皎廉洁的心呢？

【赏析】一首好诗，不但要有诗眼，以放“灵光”，而且有时须作“龙吟”，以发“仙声”。这首诗以蝉比兴，以蝉喻己，寓情于物，抒发了诗人品行高洁却不容于世俗的哀怨悲伤之情。全诗感情充沛，取譬明切，用典自然，语多双关，于咏物中寄情寓兴，由物到人，由人及物，达到了物我一体的境界，是咏物诗中的名作。",,,阅读,21
6B语文解析,8 古代诗歌三首,"中考链接，考点突破
分析诗词内容
考点综述
        分析诗词的内容是诗词鉴赏题中不可或缺的一类题。要求根据作品相关背景，正确理解诗词内容，感悟作者情感。比如《马诗》中“何当”是一个很普通的词，但抓住这个词，就能体会诗人在《马诗》的背后所蕴藏的情感。
        对诗词表达的情感的考查，也就是对诗词主旨的考查，是诗词赏析题中一个非常重要的方面，考查频率极高。一般会涉及以下几个方面：对诗句意义的理解，对诗中景物、形象和情感的理解，对全诗深层含义的领悟，对全诗名句的感悟。这类题通常会将景物、人与诗歌情感结合在一起考查，常见考查形式：（1）本诗描写了什么样的画面？（2）本诗抒发了什么样的思想感情？

得分技巧
        如何准确地把握诗词的内容呢？我们从以下几个方面着手：
        1.看标题，初步感知诗歌内容，如《钱塘湖春行》的题目就交代了诗人描写的对象和季节。
        2.看注释，扫除字词障碍，明确诗歌的背景和写作缘由。这主要针对课外古诗词的考查，为了减轻理解诗词的难度，以注释的形式提供一部分信息。因而同学们不要认为注释是可有可无的，一定要加以重视，它可以帮助你更快地把握诗词的内容和表达的思想感情。
        3.看意象，领悟意境。“意象”指寄托诗人情感的物象，“意境”指多个意象综合起来构建的情景交融的境界。鉴赏诗词时，一定要仔细揣摩品味诗词中的意象，这是迅速走进诗词的关键。同时对常见的“月”“柳”“雨”“酒”等意象所包含的情感要有一定的掌握，从而能进行迁移、联想。
        4.看诗眼，把握情感。诗眼可以是一个传神精练的字或词，也可以是一句起画龙点睛作用的诗。把握住诗眼，我们就能大致把握诗词的思想感情。如《望江南》中“肠断白蘋洲”一句就把女子等待丈夫归来的惯怅情怀淋漓尽致地表现了出来。",,,阅读,22
6B语文解析,8 古代诗歌三首,"中考在线
（上海浦东新区一模）阅读下面的词，完成第1—2题。（4分）

破阵子•为陈同甫赋壮词以寄之
［宋］辛弃疾
醉里挑灯看剑，梦回吹角连营。
八百里分麾下炙，五十弦翻塞外声，沙场秋点兵。
马作的卢飞快，弓如霹雳弦惊。
了却君王天下事，赢得生前身后名。可怜白发生！

1.“沙场”的意思是________。（2分）
2. 下列对这首词理解不恰当的一项是（    ）（2分）
A. 上片一、二句表现了词人念念不忘杀敌报国的情怀。
B. 上片三、四句表现了雄壮的军容和高昂的战斗情绪。
C. 下片三、四句实写词人战斗获胜时意气昂扬的神情。
D. 下片末句以沉痛的慨叹抒发了词人壮志难酬的悲愤。",战场；C,2.C［解析］本题考查对诗词内容的理解。C项，下片三、四句写的是词人的理想，并非“实写词人战斗获胜时意气昂扬的神情”。故选C。,理解,23
